0	1	<s>	<s>
1	0	<eps>	<eps>
0	2	</s>	</s>
2	0	<eps>	<eps>
0	3	<unk>	<unk>
3	0	<eps>	<eps>
0	4	a	a
4	5	l	l
5	6	w	w
6	7	a	a
7	8	y	y
8	9	s	s
9	0	+ADV	#
0	10	b	b
10	11	r	r
11	12	i	i
12	13	g	g
13	14	h	h
14	15	t	t
15	0	+ADV	#
0	16	f	f
16	17	r	r
17	18	e	e
18	19	s	s
19	20	h	h
20	0	+ADV	#
0	21	j	j
21	22	u	u
22	23	s	s
23	24	t	t
24	0	+ADV	#
0	25	m	m
25	26	a	a
26	27	d	d
27	0	+ADV	#
0	28	n	n
28	29	e	e
29	30	v	v
30	31	e	e
31	32	r	r
32	0	+ADV	#
0	33	o	o
33	34	f	f
34	35	t	t
35	36	e	e
36	37	n	n
37	0	+ADV	#
0	38	q	q
38	39	u	u
39	40	i	i
40	41	c	c
41	42	k	k
42	0	+ADV	#
0	43	s	s
43	44	e	e
44	45	l	l
45	46	d	d
46	47	o	o
47	48	m	m
48	0	+ADV	#
43	49	h	h
49	50	a	a
50	51	r	r
51	52	p	p
52	0	+ADV	#
43	53	l	l
53	54	o	o
54	55	w	w
55	0	+ADV	#
43	56	o	o
56	57	m	m
57	58	e	e
58	59	t	t
59	60	i	i
60	61	m	m
61	62	e	e
62	63	s	s
63	0	+ADV	#
0
